family,name,type,offerId,processName,partialURL,Install,Play
alchemy/alchemy,Alchemy™,base,OFB-EAST:109552132,Alchemy.exe,/store/alchemy/alchemy/standard-edition?,Automatable,Automatable
alice/alice-madness-returns,Alice: Madness Returns™,base,OFB-EAST:57154,External Installer,/store/alice/alice-madness-returns/standard-edition?,Not automatable: External Installer,Automatable
amazing-adventures/amazing-adventures-around-the-world,Amazing Adventures Around the World™,base,OFB-EAST:109550790,AmazingAdventures2.exe,/store/amazing-adventures/amazing-adventures-around-the-world/standard-edition?,Automatable,Automatable
amazing-adventures/amazing-adventures-riddle-of-the-two-knights,Amazing Adventures Riddle of the Two Knights™,base,OFB-EAST:109550791,AmazingAdventures5.exe,/store/amazing-adventures/amazing-adventures-riddle-of-the-two-knights/standard-edition?,Automatable,Automatable
amazing-adventures/amazing-adventures-the-caribbean-secret,Amazing Adventures The Caribbean Secret™,base,OFB-EAST:109552133,AmazingAdventures3.exe,/store/amazing-adventures/amazing-adventures-the-caribbean-secret/standard-edition?,Automatable,Automatable
amazing-adventures/amazing-adventures-the-forgotten-dynasty,Amazing Adventures The Forgotten Dynasty™,base,OFB-EAST:109552134,AmazingAdventures4.exe,/store/amazing-adventures/amazing-adventures-the-forgotten-dynasty/standard-edition?,Automatable,Automatable
amazing-adventures/amazing-adventures-the-lost-tomb,Amazing Adventures The Lost Tomb™,base,OFB-EAST:109552135,AmazingAdventures.exe,/store/amazing-adventures/amazing-adventures-the-lost-tomb/standard-edition?,Automatable,Automatable
aragami/aragami,ARAGAMI,base,Origin.OFR.50.0001930,Aragami.exe,/store/aragami/aragami/standard-edition?,Automatable,Automatable
assassins-creed/assassins-creed-iii,Assassin’s Creed® III - Deluxe Edition Benedict Arnold Bonus Single Player Missions,dlc,OFB-EAST:61164,AC3SP.exe,/store/assassins-creed/assassins-creed-iii/addon/assassin-s-creed-iii--deluxe-edition-benedict-arnold-bonus-single-player-missions?,,
assassins-creed/assassins-creed-iii,Assassin’s Creed® III – The Hidden Secrets Pack,dlc,OFB-EAST:60288,AC3SP.exe,/store/assassins-creed/assassins-creed-iii/addon/assassin-s-creed-iii--the-hidden-secrets-pack?,,
assassins-creed/assassins-creed-iii,Assassin’s Creed® III The Betrayal,dlc,OFB-EAST:60291,AC3SP.exe,/store/assassins-creed/assassins-creed-iii/addon/assassin-s-creed-iii-the-betrayal?,,
assassins-creed/assassins-creed-iii,Assassin's Creed® III,base,OFB-EAST:57557,AC3SP.exe,/store/assassins-creed/assassins-creed-iii/standard-edition?,Not automatable: Uplay,Automatable
assassins-creed/assassins-creed-iii,Assassin's Creed® III Deluxe Edition,base_deluxe,OFB-EAST:109545960,AC3SP.exe,/store/assassins-creed/assassins-creed-iii/deluxe-edition?,Not automatable: Uplay,Automatable
assassins-creed/assassins-creed-iii,Assassin's Creed® III: The Battle Hardened Pack,dlc,OFB-EAST:60289,AC3SP.exe,/store/assassins-creed/assassins-creed-iii/addon/assassins-creed-iii-the-battle-hardened-pack?,,
assassins-creed/assassins-creed-iii,Assassin's Creed® III: The Infamy,dlc,OFB-EAST:60290,AC3SP.exe,/store/assassins-creed/assassins-creed-iii/addon/assassins-creed-iii-the-infamy-?,,
assassins-creed/assassins-creed-iii,Assassin's Creed® III: The Redemption,dlc,OFB-EAST:60292,AC3SP.exe,/store/assassins-creed/assassins-creed-iii/addon/assassins-creed-iii-the-redemption?,,
assassins-creed/assassins-creed-iii,Assassin's Creed® III - Season Pass,ulc,Origin.OFR.50.0000133,,/store/assassins-creed/assassins-creed-iii/addon/assassins-creed-iii--season-pass?,,
assassins-creed/assassins-creed-iii,Assassin's Creed® III: George Washington's Notebook,digitalbook,OFB-EAST:61285,,/store/assassins-creed/assassins-creed-iii/addon/assassin-s-creed-iii-the-betrayal?,,
assassins-creed/assassins-creed-iii,The Official Assassin’s Creed® III Soundtrack,soundtrack,OFB-EAST:61163,,/store/assassins-creed/assassins-creed-iii/addon/the-official-assassin-s-creed-iii-soundtrack?,,
assassins-creed/assassins-creed-iv-black-flag,Assassin’s Creed® IV Black Flag™,base,Origin.OFR.50.0000317,AC4BFSP.exe,/store/assassins-creed/assassins-creed-iv-black-flag/standard-edition?,Not automatable: Uplay,Automatable
assassins-creed/assassins-creed-iv-black-flag,Assassin’s Creed® IV Black Flag™ Gold Edition,base,Origin.OFR.50.0000321,AC4BFSP.exe,/store/assassins-creed/assassins-creed-iv-black-flag/gold-edition?,Not automatable: Uplay,Automatable
assassins-creed/assassins-creed-syndicate,Assassin’s Creed® Syndicate,base,Origin.OFR.50.0001182,ACS.exe,/store/assassins-creed/assassins-creed-syndicate/standard-edition?,Not automatable: Uplay,Automatable
assassins-creed/assassins-creed-syndicate,Assassin’s Creed® Syndicate Gold Edition,base,Origin.OFR.50.0001245,ACS.exe,/store/assassins-creed/assassins-creed-syndicate/gold-edition?,Not automatable: Uplay,Automatable
assassins-creed/assassins-creed-unity,Assassin’s Creed® Unity,base,Origin.OFR.50.0000634,ACU.exe,/store/assassins-creed/assassins-creed-unity/standard-edition?,Not automatable: Uplay,Automatable
banner-saga/the-banner-saga,The Banner Saga - Mod Content,dlc,Origin.OFR.50.0001376,ownExecutable,/store/banner-saga/the-banner-saga/addon/the-banner-saga--mod-content?,,
banner-saga/the-banner-saga,The Banner Saga,base,Origin.OFR.50.0001356,The Banner Saga.exe,/store/banner-saga/the-banner-saga/standard-edition?,Automatable,Automatable
banner-saga/the-banner-saga-2,The Banner Saga 2,base,Origin.OFR.50.0001399,The Banner Saga 2.exe,/store/banner-saga/the-banner-saga-2/standard-edition?,Automatable,Automatable
banner-saga/the-banner-saga-2,The Banner Saga 2 Deluxe Edition,base,Origin.OFR.50.0001400,The Banner Saga 2.exe,/store/banner-saga/the-banner-saga-2/deluxe-edition?,Automatable,Automatable
bastion/bastion,Bastion,base,Origin.OFR.50.0001404,Bastion.exe,/store/bastion/bastion/standard-edition?,Automatable,Automatable
batman/batman-arkham-asylum,Batman: Arkham Asylum Game of the Year Edition,base,Origin.OFR.50.0001529,BmLauncher.exe,/store/batman/batman-arkham-asylum/game-of-the-year-edition?,Automatable,Automatable
batman/batman-arkham-asylum,Batman: Arkham Asylum (MAC),base,OFB-EAST:109545554,MAC,/store/batman/batman-arkham-asylum/standard-edition?,Not automatable: Mac,Automatable
batman/batman-arkham-city,Batman: Arkham City Game of the Year Edition,base,Origin.OFR.50.0001860,BmLauncher.exe,/store/batman/batman-arkham-city/game-of-the-year-edition--pc?,Automatable,Automatable
batman/batman-arkham-city,Batman: Arkham City Game of the Year Edition (MAC),base,OFB-EAST:59473,MAC,/store/batman/batman-arkham-city/game-of-the-year-edition--mac?,Not automatable: Mac,Automatable
batman/batman-arkham-origins,Batman™: Arkham Origins,base,Origin.OFR.50.0001405,BatmanOrigins.exe,/store/batman/batman-arkham-origins/standard-edition?,Automatable,Automatable
battlefield/battlefield-1,Battlefield™ 1,base,Origin.OFR.50.0000557,bf1.exe,/store/battlefield/battlefield-1/standard-edition?,Automatable,Not Automatable: Battlelog
battlefield/battlefield-1,Battlefield™ 1 Deluxe Edition,base_deluxe,Origin.OFR.50.0001382,bf1.exe,/store/battlefield/battlefield-1/deluxe-edition?,Automatable,Not Automatable: Battlelog
battlefield/battlefield-1,Battlefield™ 1 Ultimate Edition,base_ultimate,Origin.OFR.50.0001665,bf1.exe,/store/battlefield/battlefield-1/ultimate-edition?,Automatable,Not Automatable: Battlelog
battlefield/battlefield-1,Battlefield™ 1 Deluxe Edition Upgrade,ulc,Origin.OFR.50.0001780,,,,
battlefield/battlefield-1,Battlefield™ 1 Deluxe Upgrade,ulc,,,,,
battlefield/battlefield-1,Battlefield™ 1 Hellfighter Pack,ulc,,,,,
battlefield/battlefield-1,Battlefield™ 1 Premium Pass,ulc,Origin.OFR.50.0001581,,,,
battlefield/battlefield-1,Battlefield™ 1 Shortcut Kit: Infantry Bundle,ulc,Origin.OFR.50.0001547,,,,
battlefield/battlefield-1,Battlefield™ 1 Shortcut Kit: Medic Bundle,ulc,Origin.OFR.50.0001548,,,,
battlefield/battlefield-1,Battlefield™ 1 Shortcut Kit: Scout Bundle,ulc,Origin.OFR.50.0001542,,,,
battlefield/battlefield-1,Battlefield™ 1 Shortcut Kit: Support Bundle,ulc,Origin.OFR.50.0001549,,,,
battlefield/battlefield-1,Battlefield™ 1 Shortcut Kit: Ultimate Bundle,ulc,Origin.OFR.50.0001546,,,,
battlefield/battlefield-1,Battlefield™ 1 Shortcut Kit: Vehicle Bundle,ulc,Origin.OFR.50.0001545,,,,
battlefield/battlefield-3,Battlefield 3™,base,DR:225064100,bf3.exe,/store/battlefield/battlefield-3/standard-edition?,Automatable,Not Automatable: Battlelog
battlefield/battlefield-3,Battlefield 3™ Armored Kill,dlc,OFB-EAST:51080,bf3.exe,/store/battlefield/battlefield-3/expansion/battlefield-3-armored-kill?,,
battlefield/battlefield-3,Battlefield 3™ Back to Karkand Expansion Pack,dlc,OFB-EAST:41331,bf3.exe,/store/battlefield/battlefield-3/expansion/battlefield-3-back-to-karkand-expansion-pack?,,
battlefield/battlefield-3,Battlefield 3™ Premium Edition,base_premium,DR:255751200,bf3.exe,/store/battlefield/battlefield-3/premium-edition?,Automatable,Not Automatable: Battlelog
battlefield/battlefield-3,Battlefield 3™: Aftermath,dlc,OFB-EAST:55172,bf3.exe,/store/battlefield/battlefield-3/expansion/battlefield-3-aftermath?,,
battlefield/battlefield-3,Battlefield 3™: Close Quarters,dlc,OFB-EAST:50631,bf3.exe,/store/battlefield/battlefield-3/expansion/battlefield-3-close-quarters?,,
battlefield/battlefield-3,Battlefield 3™: End Game,dlc,OFB-EAST:109546437,bf3.exe,/store/battlefield/battlefield-3/expansion/battlefield-3-end-game?,,
battlefield/battlefield-3,Air Vehicle Shortcut,ulc,OFB-EAST:55621,,,,
battlefield/battlefield-3,Assault Kit Shortcut,ulc,OFB-EAST:109541468,,,,
battlefield/battlefield-3,Battlefield 3 Welcome Pack,ulc,,,,,
battlefield/battlefield-3,Battlefield 3™ Premium,ulc,OFB-EAST:50401,,,,
battlefield/battlefield-3,Battlefield 3™ SPECACT Kit & Dog Tag Bundle,ulc,OFB-EAST:60868,,,,
battlefield/battlefield-3,Co-op Weapons Shortcut,ulc,OFB-EAST:109541467,,,,
battlefield/battlefield-3,Engineer Kit Shortcut,ulc,OFB-EAST:109541474,,,,
battlefield/battlefield-3,Ground Vehicle Shortcut,ulc,OFB-EAST:109541471,,,,
battlefield/battlefield-3,Kit Shortcut Bundle,ulc,OFB-EAST:109541470,,,,
battlefield/battlefield-3,Recon Kit Shortcut,ulc,OFB-EAST:109541473,,,,
battlefield/battlefield-3,Support Kit Shortcut,ulc,OFB-EAST:109541466,,,,
battlefield/battlefield-3,The Ultimate Shortcut Bundle,ulc,OFB-EAST:109541472,,,,
battlefield/battlefield-3,Vehicle Shortcut Bundle,ulc,OFB-EAST:109541475,,,,
battlefield/battlefield-4,Battlefield 4™,base,OFB-EAST:109546867,bf4.exe,,Automatable,Not Automatable: Battlelog
battlefield/battlefield-4,Battlefield 4™ China Rising,dlc,OFB-EAST:109550763,bf4.exe,,,
battlefield/battlefield-4,Battlefield 4™ Community Operations,dlc,Origin.OFR.50.0000909,bf4.exe,,,
battlefield/battlefield-4,Battlefield 4™ Digital Deluxe,base_deluxe,OFB-EAST:109549060,bf4.exe,,Automatable,Not Automatable: Battlelog
battlefield/battlefield-4,Battlefield 4™ Dragon's Teeth,dlc,OFB-EAST:109550764,bf4.exe,,,
battlefield/battlefield-4,Battlefield 4™ Final Stand,dlc,OFB-EAST:109550823,bf4.exe,,,
battlefield/battlefield-4,Battlefield 4™ Legacy Operations,dlc,Origin.OFR.50.0000911,bf4.exe,,,
battlefield/battlefield-4,Battlefield 4™ Naval Strike,dlc,OFB-EAST:109550765,bf4.exe,,,
battlefield/battlefield-4,Battlefield 4™ Night Operations,dlc,Origin.OFR.50.0000910,bf4.exe,,,
battlefield/battlefield-4,Battlefield 4™ Premium Edition,base_premium,OFB-EAST:109552316,bf4.exe,,Automatable,Not Automatable: Battlelog
battlefield/battlefield-4,Battlefield 4™ Second Assault,dlc,OFB-EAST:109550761,bf4.exe,,,
battlefield/battlefield-4,Battlefield 4™ Air Vehicle Shortcut Kit,ulc,Origin.OFR.50.0000036,,,,
battlefield/battlefield-4,Battlefield 4™ Assault Shortcut Kit,ulc,Origin.OFR.50.0000034,,,,
battlefield/battlefield-4,Battlefield 4™ Carbine Shortcut Kit,ulc,Origin.OFR.50.0000355,,,,
battlefield/battlefield-4,Battlefield 4™ DMR Shortcut Kit,ulc,Origin.OFR.50.0000363,,,,
battlefield/battlefield-4,Battlefield 4™ Engineer Shortcut Kit,ulc,Origin.OFR.50.0000033,,,,
battlefield/battlefield-4,Battlefield 4™ Grenade Shortcut Kit,ulc,Origin.OFR.50.0000360,,,,
battlefield/battlefield-4,Battlefield 4™ Ground & Sea Vehicle Shortcut Kit,ulc,Origin.OFR.50.0000037,,,,
battlefield/battlefield-4,Battlefield 4™ Handgun Shortcut Kit,ulc,Origin.OFR.50.0000359,,,,
battlefield/battlefield-4,Battlefield 4™ Premium Membership,ulc,OFB-EAST:109550762,,,,
battlefield/battlefield-4,Battlefield 4™ Recon Shortcut Kit,ulc,Origin.OFR.50.0000032,,,,
battlefield/battlefield-4,Battlefield 4™ Shotgun Shortcut Kit,ulc,Origin.OFR.50.0000364,,,,
battlefield/battlefield-4,Battlefield 4™ Soldier Shortcut Bundle,ulc,Origin.OFR.50.0000035,,,,
battlefield/battlefield-4,Battlefield 4™ Support Shortcut Kit,ulc,Origin.OFR.50.0000031,,,,
