Offer_Id,Entitlement_Name,Entitlement_Parent_Name,Partial_PDP,Needs_Base_Game,Base_Game_Rows,Bundle,Bundle_rows,Game_Library_Image_Name
Origin.OFR.50.0002488,A Way Out,A Way Out,/store/a-way-out/a-way-out,FALSE,,FALSE,,A Way Out
OFB-EAST:109552132,Alchemy™,Alchemy™,/store/alchemy/alchemy,FALSE,,FALSE,,Alchemy™
OFB-EAST:57154,Alice: Madness Returns™,Alice: Madness Returns™,/store/alice/alice-madness-returns,FALSE,,FALSE,,Alice: Madness Returns™
OFB-EAST:109550790,Amazing Adventures Around the World™,Amazing Adventures Around the World™,/store/amazing-adventures/amazing-adventures-around-the-world,FALSE,,FALSE,,Amazing Adventures Around the World™
OFB-EAST:109550791,Amazing Adventures Riddle of the Two Knights™,Amazing Adventures Riddle of the Two Knights™,/store/amazing-adventures/amazing-adventures-riddle-of-the-two-knights,FALSE,,FALSE,,Amazing Adventures Riddle of the Two Knights™
OFB-EAST:109552133,Amazing Adventures The Caribbean Secret™,Amazing Adventures The Caribbean Secret™,/store/amazing-adventures/amazing-adventures-the-caribbean-secret,FALSE,,FALSE,,Amazing Adventures The Caribbean Secret™
OFB-EAST:109552134,Amazing Adventures The Forgotten Dynasty™ ,Amazing Adventures The Forgotten Dynasty™ ,/store/amazing-adventures/amazing-adventures-the-forgotten-dynasty,FALSE,,FALSE,,Amazing Adventures The Forgotten Dynasty™
OFB-EAST:109552135,Amazing Adventures The Lost Tomb™,Amazing Adventures The Lost Tomb™,/store/amazing-adventures/amazing-adventures-the-lost-tomb,FALSE,,FALSE,,Amazing Adventures The Lost Tomb™
Origin.OFR.50.0001930,ARAGAMI,ARAGAMI,/store/aragami/aragami,FALSE,,FALSE,,ARAGAMI
OFB-EAST:109545960,Assassin's Creed® III Deluxe Edition,Assassin's Creed® III,/store/assassins-creed/assassins-creed-iii,FALSE,,FALSE,,Assassin's Creed® III Deluxe Edition
OFB-EAST:57557,Assassin's Creed® III,Assassin's Creed® III,/store/assassins-creed/assassins-creed-iii,FALSE,,FALSE,,Assassin's Creed® III
OFB-EAST:60767,Assassin's Creed® III - Season Pass,Assassin's Creed® III - Season Pass,/store/assassins-creed/assassins-creed-iii/addon/assassins-creed-iii--season-pass,TRUE,12,FALSE,,Assassin's Creed® III - Season Pass
OFB-EAST:109549492,Assassin's Creed®: Brotherhood Digital Deluxe Edition,Assassin's Creed®: Brotherhood Digital Deluxe Edition,/store/assassins-creed/assassins-creed-brotherhood,FALSE,,FALSE,,Assassin's Creed®: Brotherhood Digital Deluxe Edition
Origin.OFR.50.0000321,Assassin's Creed® IV Black Flag™ Gold Edition ,Assassin’s Creed® IV Black Flag™,/store/assassins-creed/assassins-creed-iv-black-flag,FALSE,,FALSE,,Assassin's Creed® IV Black Flag™ Gold Edition
Origin.OFR.50.0000317,Assassin's Creed® IV Black Flag™,Assassin’s Creed® IV Black Flag™,/store/assassins-creed/assassins-creed-iv-black-flag,FALSE,,FALSE,,Assassin’s Creed® IV Black Flag™
Origin.OFR.50.0000325,Assassin's Creed® IV Black Flag™ Deluxe Edition,Assassin’s Creed® IV Black Flag™,/store/assassins-creed/assassins-creed-iv-black-flag,FALSE,,FALSE,,Assassin's Creed® IV Black Flag™ Deluxe Edition
Origin.OFR.50.0000245,Assassin's Creed® IV Black Flag™ Season Pass,Assassin’s Creed® IV Black Flag™ Season Pass,/store/assassins-creed/assassins-creed-iv-black-flag/addon/assassin-s-creed-iv-black-flag-season-pass,TRUE,16,FALSE,,Assassin's Creed® IV Black Flag™ Season Pass
Origin.OFR.50.0000593,Assassin's Creed® II Deluxe Edition,Assassin's Creed® II Deluxe Edition,/store/assassins-creed/assassins-creed-ii,FALSE,,FALSE,,Assassin’s Creed® II Deluxe Edition
Origin.OFR.50.0000634,Assassin’s Creed® Unity,Assassin’s Creed® Unity,/store/assassins-creed/assassins-creed-unity,FALSE,,FALSE,,Assassin’s Creed® Unity
Origin.OFR.50.0001182,Assassin's Creed® Syndicate,Assassin’s Creed® Syndicate,/store/assassins-creed/assassins-creed-syndicate,FALSE,,FALSE,,Assassin’s Creed® Syndicate
Origin.OFR.50.0001245,Assassin's Creed® Syndicate Gold Edition,Assassin’s Creed® Syndicate,/store/assassins-creed/assassins-creed-syndicate,FALSE,,FALSE,,Assassin’s Creed® Syndicate
Origin.OFR.50.0001180,Assassin's Creed® Syndicate Season Pass,Assassin’s Creed® Syndicate Season Pass,/store/assassins-creed/assassins-creed-syndicate/addon/assassin-s-creed-syndicate-season-pass,TRUE,21,FALSE,,Assassin's Creed® Syndicate Season Pass
Origin.OFR.50.0001356,The Banner Saga,The Banner Saga,/store/banner-saga/the-banner-saga,FALSE,,FALSE,,The Banner Saga
Origin.OFR.50.0001399,The Banner Saga 2,The Banner Saga 2,/store/banner-saga/the-banner-saga-2,FALSE,,FALSE,,The Banner Saga 2
Origin.OFR.50.0001400,The Banner Saga 2 Deluxe Edition,The Banner Saga 2,/store/banner-saga/the-banner-saga-2,FALSE,,FALSE,,The Banner Saga 2 Deluxe Edition
Origin.OFR.50.0001404,Bastion,Bastion,/store/bastion/bastion,FALSE,,FALSE,,Bastion
OFB-EAST:59473,Batman: Arkham City Game of the Year Edition (MAC),Batman: Arkham City Game of the Year Edition,/store/batman/batman-arkham-city,FALSE,,FALSE,,Batman: Arkham City Game of the Year Edition
Origin.OFR.50.0001860,Batman: Arkham City Game of the Year Edition,Batman: Arkham City Game of the Year Edition,/store/batman/batman-arkham-city,FALSE,,FALSE,,Batman: Arkham City Game of the Year Edition
Origin.OFR.50.0001529,Batman: Arkham Asylum Game of the Year Edition,Batman: Arkham Asylum Game of the Year Edition,/store/batman/batman-arkham-asylum,FALSE,,FALSE,,Batman: Arkham Asylum Game of the Year Edition
Origin.OFR.50.0001405,Batman™: Arkham Origins,Batman™: Arkham Origins,/store/batman/batman-arkham-origins,FALSE,,FALSE,,Batman™: Arkham Origins
Origin.OFR.50.0002394,Batman™: Arkham Origins Blackgate - Deluxe Edition,Batman™: Arkham Origins Blackgate - Deluxe Edition,/store/batman/batman-arkham-origins-blackgate,FALSE,,FALSE,,Batman™: Arkham Origins Blackgate - Deluxe Edition
Origin.OFR.50.0002326,Battle Chasers: Nightwar,Battle Chasers: Nightwar,/store/battle-chasers/battle-chasers-nightwar,FALSE,,FALSE,,Battle Chasers: Nightwar
DR:156691300,Battlefield: Bad Company™ 2,Battlefield: Bad Company™ 2,/store/battlefield/battlefield-bad-company-2,FALSE,,FALSE,,Battlefield: Bad Company™ 2
OFB-EAST:60885,Battlefield: Bad Company™ 2 Digital Deluxe Edition,Battlefield: Bad Company™ 2,/store/battlefield/battlefield-bad-company-2,FALSE,,FALSE,,Battlefield: Bad Company™ 2
DR:219316800,Battlefield: Bad Company™ 2: Vietnam,Battlefield: Bad Company™ 2: Vietnam,/store/battlefield/battlefield-bad-company-2/expansion/battlefield-bad-company-2-vietnam,TRUE,34,FALSE,,Battlefield: Bad Company™ 2: Vietnam
DR:192365600,Battlefield: Bad Company™2 SPECACT Kit Upgrades,Battlefield: Bad Company™2 SPECACT Kit Upgrades,/store/battlefield/battlefield-bad-company-2/addon/battlefield-bad-company2-specact-kit-upgrades,TRUE,34,FALSE,,Battlefield: Bad Company™2 SPECACT Kit Upgrades
DR:225064100,Battlefield 3™,Battlefield 3™,/store/battlefield/battlefield-3,FALSE,,FALSE,,Battlefield 3™
DR:235663400,Battlefield 3™ Extended Edition,Battlefield 3™,/store/battlefield/battlefield-3,FALSE,,FALSE,,Battlefield 3™ Extended Edition
DR:255751200,Battlefield 3™ Premium Edition,Battlefield 3™,/store/battlefield/battlefield-3,FALSE,,FALSE,,Battlefield 3™ Limited Edition
