Entitlement_Name,Offer_ID,Country,Language,Partial_PDP,Start_Date_Time,End_Date_Time
Peggle®,Origin.OFR.50.0000461,aus,en-us,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,bel,fr-fr,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,bel,nl-nl,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,bra,pt-br,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,can,en-us,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,can,fr-ca,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,deu,de-de,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,dnk,da-dk,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,esp,es-es,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,fin,fi-fi,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000489,fra,fr-fr,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,gbr,en-us,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,hkg,zh-tw,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,hkg,en-us,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,ind,en-us,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,irl,en-us,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,ita,it-it,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®（英語版）,Origin.OFR.50.0000461,jpn,ja-jp,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018
Peggle®,Origin.OFR.50.0000461,kor,ko-kr,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,mex,es-mx,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,nld,nl-nl,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,nor,no-no,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,nzl,en-us,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,pol,pl-pl,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,rus,ru-ru,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,swe,sv-se,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,sgp,en-us,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,tha,th-th,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,twn,zh-tw,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,usa,en-us,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
Peggle®,Origin.OFR.50.0000461,zaf,en-us,peggle/peggle/standard-edition,4/17/2018 8:00,8/3/2018 8:00
